datapoint_idx,pred_prob_datapoint,pred_prob_counterfactual,distance,n_changed,violation_score
73,0.0,1.0,0.013722032348753046,1,0.00013722032348753045
146,0.0,1.0,0.01877751795092522,1,0.0001877751795092522
44,0.0,1.0,0.08232746665408647,1,0.0008232746665408647
115,0.0,1.0,0.08232746665408647,1,0.0008232746665408647
135,0.0,1.0,0.08232746665408647,1,0.0008232746665408647
140,0.0,1.0,0.08232746665408647,1,0.0008232746665408647
142,0.0,1.0,0.08794559082668116,1,0.0008794559082668116
196,0.0,1.0,0.08794559082668116,1,0.0008794559082668116
16,0.0,1.0,0.16465493330817293,1,0.0016465493330817295
177,0.0,1.0,0.16465493330817293,1,0.0016465493330817295
125,0.0,1.0,0.17589118165336232,1,0.0017589118165336232
75,0.0,1.0,0.20185831797244613,1,0.0020185831797244615
46,0.0,1.0,0.23580229272988787,1,0.0023580229272988787
159,0.0,1.0,0.26360746354183484,1,0.0026360746354183485
77,0.0,1.0,0.2638367724800435,1,0.002638367724800435
133,0.0,1.0,0.2638367724800435,1,0.002638367724800435
0,0.0,1.0,0.2697462674873296,1,0.002697462674873296
113,0.0,1.0,0.32930986661634587,1,0.003293098666163459
14,0.0,1.0,0.376633677361827,1,0.00376633677361827
95,0.0,1.0,0.376633677361827,1,0.00376633677361827
5,0.0,1.0,0.4138038300123833,1,0.004138038300123833
20,0.0,1.0,0.4138038300123833,1,0.004138038300123833
80,0.0,1.0,0.4397279541334058,1,0.004397279541334058
56,0.0,1.0,0.4557159164243775,1,0.004557159164243775
151,0.0,1.0,0.49396479992451875,1,0.004939647999245188
35,0.0,1.0,0.6156191357867682,1,0.006156191357867682
82,0.0,1.0,0.7392326321991382,1,0.007392326321991382
1,0.0,1.0,0.7549995877142995,1,0.007549995877142996
10,0.0,1.0,0.804361815109735,1,0.00804361815109735
160,0.0,1.0,0.822135558731056,1,0.008221355587310561
192,0.0,1.0,0.822135558731056,1,0.008221355587310561
9,0.0,1.0,0.8276076600247666,1,0.008276076600247666
91,0.0,1.0,0.8276076600247666,1,0.008276076600247666
59,0.0,1.0,0.9464235260724636,1,0.009464235260724636
126,0.0,1.0,0.9464235260724636,1,0.009464235260724636
186,0.0,1.0,1.070257066503124,1,0.01070257066503124
25,0.0,1.0,1.2312382715735364,1,0.012312382715735364
